,course_title,course_organization
0,UX Design MasterTrack Certificate,University of Minnesota
1,Sustainability and Development MasterTrack Certificate,University of Michigan
2,Supply Chain Excellence MasterTrack Certificate,Rutgers University
3,Software Engineering MasterTrack Certificate,Arizona State University
4,"Social Work: Practice, Policy and Research MasterTrack Certificate",University of Michigan
5,Power Electronics MasterTrack® Certificate,University of Colorado Boulder
6,Machine Learning for Analytics MasterTrack™ Certificate,University of Chicago
7,Instructional Design MasterTrack™ Certificate',University of Illinois at Urbana-Champaign
8,Industrial Internet of Things MasterTrack® Certificate,University of Colorado Boulder
9,Health Informatics MasterTrack® Certificate,Yale University
10,UX Design MasterTrack Certificate,University of Minnesota
11,Sustainability and Development MasterTrack Certificate,University of Michigan
12,Supply Chain Excellence MasterTrack Certificate,Rutgers University
13,Software Engineering MasterTrack Certificate,Arizona State University
14,"Social Work: Practice, Policy and Research MasterTrack Certificate",University of Michigan
15,Power Electronics MasterTrack® Certificate,University of Colorado Boulder
16,Machine Learning for Analytics MasterTrack™ Certificate,University of Chicago
17,Instructional Design MasterTrack™ Certificate',University of Illinois at Urbana-Champaign
18,Industrial Internet of Things MasterTrack® Certificate,University of Colorado Boulder
19,Health Informatics MasterTrack® Certificate,Yale University
20,UX Design MasterTrack Certificate,University of Minnesota
21,Sustainability and Development MasterTrack Certificate,University of Michigan
22,Supply Chain Excellence MasterTrack Certificate,Rutgers University
23,Software Engineering MasterTrack Certificate,Arizona State University
24,"Social Work: Practice, Policy and Research MasterTrack Certificate",University of Michigan
