,course_title,course_organization,course_rating,course_difficulty,course_students_enrolled
0,Google Data Analytics,Google,4.8,Beginner,380K
1,Google Project Management:,Google,4.8,Beginner,260K
2,IBM Data Science,IBM,4.6,Beginner,900K
3,Google UX Design,Google,4.8,Beginner,220K
4,Google IT Support,Google,4.8,Beginner,1M
5,IBM Data Analyst,IBM,4.6,Beginner,580K
6,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
7,Introduction to Data Science,IBM,4.6,Beginner,590K
8,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
9,Machine Learning,Stanford University,4.9,Mixed,4.4M
10,Google Data Analytics,Google,4.8,Beginner,380K
11,Google Project Management:,Google,4.8,Beginner,260K
12,IBM Data Science,IBM,4.6,Beginner,900K
13,Google UX Design,Google,4.8,Beginner,220K
14,Google IT Support,Google,4.8,Beginner,1M
15,IBM Data Analyst,IBM,4.6,Beginner,580K
16,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
17,Introduction to Data Science,IBM,4.6,Beginner,590K
18,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
19,Machine Learning,Stanford University,4.9,Mixed,4.4M
20,Google Data Analytics,Google,4.8,Beginner,380K
21,Google Project Management:,Google,4.8,Beginner,260K
22,IBM Data Science,IBM,4.6,Beginner,900K
23,Google UX Design,Google,4.8,Beginner,220K
24,Google IT Support,Google,4.8,Beginner,1M
25,IBM Data Analyst,IBM,4.6,Beginner,580K
26,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
27,Introduction to Data Science,IBM,4.6,Beginner,590K
28,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
29,Machine Learning,Stanford University,4.9,Mixed,4.4M
30,Google Data Analytics,Google,4.8,Beginner,380K
31,Google Project Management:,Google,4.8,Beginner,260K
32,IBM Data Science,IBM,4.6,Beginner,900K
33,Google UX Design,Google,4.8,Beginner,220K
34,Google IT Support,Google,4.8,Beginner,1M
35,IBM Data Analyst,IBM,4.6,Beginner,580K
36,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
37,Introduction to Data Science,IBM,4.6,Beginner,590K
38,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
39,Machine Learning,Stanford University,4.9,Mixed,4.4M
40,Google Data Analytics,Google,4.8,Beginner,380K
41,Google Project Management:,Google,4.8,Beginner,260K
42,IBM Data Science,IBM,4.6,Beginner,900K
43,Google UX Design,Google,4.8,Beginner,220K
44,Google IT Support,Google,4.8,Beginner,1M
45,IBM Data Analyst,IBM,4.6,Beginner,580K
46,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
47,Introduction to Data Science,IBM,4.6,Beginner,590K
48,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
49,Machine Learning,Stanford University,4.9,Mixed,4.4M
50,Google Data Analytics,Google,4.8,Beginner,380K
51,Google Project Management:,Google,4.8,Beginner,260K
52,IBM Data Science,IBM,4.6,Beginner,900K
53,Google UX Design,Google,4.8,Beginner,220K
54,Google IT Support,Google,4.8,Beginner,1M
55,IBM Data Analyst,IBM,4.6,Beginner,580K
56,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
57,Introduction to Data Science,IBM,4.6,Beginner,590K
58,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
59,Machine Learning,Stanford University,4.9,Mixed,4.4M
60,Google Data Analytics,Google,4.8,Beginner,380K
61,Google Project Management:,Google,4.8,Beginner,260K
62,IBM Data Science,IBM,4.6,Beginner,900K
63,Google UX Design,Google,4.8,Beginner,220K
64,Google IT Support,Google,4.8,Beginner,1M
65,IBM Data Analyst,IBM,4.6,Beginner,580K
66,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
67,Introduction to Data Science,IBM,4.6,Beginner,590K
68,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
69,Machine Learning,Stanford University,4.9,Mixed,4.4M
70,Google Data Analytics,Google,4.8,Beginner,380K
71,Google Project Management:,Google,4.8,Beginner,260K
72,IBM Data Science,IBM,4.6,Beginner,900K
73,Google UX Design,Google,4.8,Beginner,220K
74,Google IT Support,Google,4.8,Beginner,1M
75,IBM Data Analyst,IBM,4.6,Beginner,580K
76,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
77,Introduction to Data Science,IBM,4.6,Beginner,590K
78,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
79,Machine Learning,Stanford University,4.9,Mixed,4.4M
80,Google Data Analytics,Google,4.8,Beginner,380K
81,Google Project Management:,Google,4.8,Beginner,260K
82,IBM Data Science,IBM,4.6,Beginner,900K
83,Google UX Design,Google,4.8,Beginner,220K
84,Google IT Support,Google,4.8,Beginner,1M
85,IBM Data Analyst,IBM,4.6,Beginner,580K
86,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
87,Introduction to Data Science,IBM,4.6,Beginner,590K
88,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
89,Machine Learning,Stanford University,4.9,Mixed,4.4M
90,Google Data Analytics,Google,4.8,Beginner,380K
91,Google Project Management:,Google,4.8,Beginner,260K
92,IBM Data Science,IBM,4.6,Beginner,900K
93,Google UX Design,Google,4.8,Beginner,220K
94,Google IT Support,Google,4.8,Beginner,1M
95,IBM Data Analyst,IBM,4.6,Beginner,580K
96,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
97,Introduction to Data Science,IBM,4.6,Beginner,590K
98,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
99,Machine Learning,Stanford University,4.9,Mixed,4.4M
100,Google Data Analytics,Google,4.8,Beginner,380K
101,Google Project Management:,Google,4.8,Beginner,260K
102,IBM Data Science,IBM,4.6,Beginner,900K
103,Google UX Design,Google,4.8,Beginner,220K
104,Google IT Support,Google,4.8,Beginner,1M
105,IBM Data Analyst,IBM,4.6,Beginner,580K
106,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
107,Introduction to Data Science,IBM,4.6,Beginner,590K
108,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
109,Machine Learning,Stanford University,4.9,Mixed,4.4M
110,Google Data Analytics,Google,4.8,Beginner,380K
111,Google Project Management:,Google,4.8,Beginner,260K
112,IBM Data Science,IBM,4.6,Beginner,900K
113,Google UX Design,Google,4.8,Beginner,220K
114,Google IT Support,Google,4.8,Beginner,1M
115,IBM Data Analyst,IBM,4.6,Beginner,580K
116,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
117,Introduction to Data Science,IBM,4.6,Beginner,590K
118,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
119,Machine Learning,Stanford University,4.9,Mixed,4.4M
120,Google Data Analytics,Google,4.8,Beginner,380K
121,Google Project Management:,Google,4.8,Beginner,260K
122,IBM Data Science,IBM,4.6,Beginner,900K
123,Google UX Design,Google,4.8,Beginner,220K
124,Google IT Support,Google,4.8,Beginner,1M
125,IBM Data Analyst,IBM,4.6,Beginner,580K
126,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
127,Introduction to Data Science,IBM,4.6,Beginner,590K
128,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
129,Machine Learning,Stanford University,4.9,Mixed,4.4M
130,Google Data Analytics,Google,4.8,Beginner,380K
131,Google Project Management:,Google,4.8,Beginner,260K
132,IBM Data Science,IBM,4.6,Beginner,900K
133,Google UX Design,Google,4.8,Beginner,220K
134,Google IT Support,Google,4.8,Beginner,1M
135,IBM Data Analyst,IBM,4.6,Beginner,580K
136,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
137,Introduction to Data Science,IBM,4.6,Beginner,590K
138,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
139,Machine Learning,Stanford University,4.9,Mixed,4.4M
140,Google Data Analytics,Google,4.8,Beginner,380K
141,Google Project Management:,Google,4.8,Beginner,260K
142,IBM Data Science,IBM,4.6,Beginner,900K
143,Google UX Design,Google,4.8,Beginner,220K
144,Google IT Support,Google,4.8,Beginner,1M
145,IBM Data Analyst,IBM,4.6,Beginner,580K
146,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
147,Introduction to Data Science,IBM,4.6,Beginner,590K
148,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
149,Machine Learning,Stanford University,4.9,Mixed,4.4M
150,Google Data Analytics,Google,4.8,Beginner,380K
151,Google Project Management:,Google,4.8,Beginner,260K
152,IBM Data Science,IBM,4.6,Beginner,900K
153,Google UX Design,Google,4.8,Beginner,220K
154,Google IT Support,Google,4.8,Beginner,1M
155,IBM Data Analyst,IBM,4.6,Beginner,580K
156,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
157,Introduction to Data Science,IBM,4.6,Beginner,590K
